inside_temp,seat_heater_rear_right_back,fan_status,is_preconditioning,seat_heater_left,seat_heater_rear_right,is_front_defroster_on,min_avail_temp,is_rear_defroster_on,battery_heater,max_avail_temp,passenger_temp_setting,side_mirror_heaters,battery_heater_no_power,right_temp_direction,driver_temp_setting,seat_heater_right,left_temp_direction,timestamp,seat_heater_rear_center,wiper_blade_heater,is_auto_conditioning_on,seat_heater_rear_left,smart_preconditioning,is_climate_on,seat_heater_rear_left_back,steering_wheel_heater,outside_temp
22.0,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536286224487,False,False,False,False,False,False,0,False,22.0
22.0,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536287582742,False,False,False,False,False,False,0,False,21.5
24.1,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536288031771,False,False,False,False,False,False,0,False,21.5
23.7,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536288487031,False,False,False,False,False,False,0,False,21.5
23.3,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536289392309,False,False,False,False,False,False,0,False,21.5
23.1,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536289842119,False,False,False,False,False,False,0,False,21.5
23.0,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536290296600,False,False,False,False,False,False,0,False,21.5
22.0,0,2,False,False,False,False,15.0,False,False,28.0,22.2,False,,31,22.2,False,31,1536291201470,False,False,True,False,False,True,0,False,21.0
22.0,0,2,False,False,False,False,15.0,False,False,28.0,22.2,False,,31,22.2,False,31,1536291652942,False,False,True,False,False,True,0,False,20.0
22.0,0,2,False,False,False,False,15.0,False,False,28.0,22.2,False,,29,22.2,False,29,1536292106839,False,False,True,False,False,True,0,False,20.0
23.2,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536293012354,False,False,False,False,False,False,0,False,20.0
22.6,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536293460479,False,False,False,False,False,False,0,False,20.0
22.3,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536293917231,False,False,False,False,False,False,0,False,20.0
21.8,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536294821902,False,False,False,False,False,False,0,False,20.0
21.7,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536295268245,False,False,False,False,False,False,0,False,20.0
21.6,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536295727160,False,False,False,False,False,False,0,False,20.0
26.3,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536296634610,False,False,False,False,False,False,0,False,24.0
27.6,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536297076683,False,False,False,False,False,False,0,False,22.0
23.0,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536297540076,False,False,False,False,False,False,0,False,22.0
22.3,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536298447687,False,False,False,False,False,False,0,False,22.0
